frame_index,filename,leaf_id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,base_x,base_y,tip_x,tip_y,image_width,image_height,is_manual
0,31_04_HDR_20250430-0700.jpg,0,0.42265625,0.51875,0.5390625,0.6395833333333333,0.515625,0.5291666666666667,0.43046875,0.6291666666666667,1280,960,True
0,31_04_HDR_20250430-0700.jpg,1,0.625,0.4739583333333333,0.72421875,0.5729166666666666,0.64375,0.50625,0.71640625,0.553125,1280,960,True
0,31_04_HDR_20250430-0700.jpg,2,0.5546875,0.6875,0.6453125,0.809375,0.609375,0.6979166666666666,0.57890625,0.7989583333333333,1280,960,True
0,31_04_HDR_20250430-0700.jpg,3,0.6703125,0.7333333333333333,0.79765625,0.8270833333333333,0.78984375,0.775,0.6796875,0.8166666666666667,1280,960,True
0,31_04_HDR_20250430-0700.jpg,4,0.65703125,0.5833333333333334,0.78125,0.6864583333333333,0.765625,0.6239583333333333,0.66484375,0.6760416666666667,1280,960,True
0,31_04_HDR_20250430-0700.jpg,5,0.6828125,0.396875,0.74921875,0.5197916666666667,0.70625,0.40729166666666666,0.7234375,0.509375,1280,960,True
0,31_04_HDR_20250430-0700.jpg,6,0.42421875,0.4125,0.528125,0.5125,0.5203125,0.44166666666666665,0.43203125,0.5020833333333333,1280,960,True
0,31_04_HDR_20250430-0700.jpg,7,0.2609375,0.30833333333333335,0.359375,0.42604166666666665,0.3515625,0.31875,0.26875,0.415625,1280,960,True
0,31_04_HDR_20250430-0700.jpg,8,0.20234375,0.1625,0.29375,0.2677083333333333,0.2859375,0.17291666666666666,0.21015625,0.25729166666666664,1280,960,True
0,31_04_HDR_20250430-0700.jpg,9,0.00625,0.6458333333333334,0.13046875,0.7770833333333333,0.0140625,0.6739583333333333,0.12265625,0.7666666666666667,1280,960,True
0,31_04_HDR_20250430-0700.jpg,10,0.5546875,0.134375,0.63125,0.2520833333333333,0.6234375,0.14479166666666668,0.5640625,0.24166666666666667,1280,960,True
